Id,Area,Perimeter,CentroidX,CentroidY
0,84176.27806,1212.9360092586905,0,0
1,7473.73809866,306.38236,465.357,174.094
2,3701.262244,243.352,0,0
3,2504.7022089999996,200.188,0,0
4,9885.927184,397.712,0,0
5,28627.075681499977,1150.0127633420807,0,0
6,2912.131143073,246.027,0,0
7,127813.23591050005,1407.7947927695116,0,0
8,1832.2495815,6.227502130385244,0,0
9,1464.760299652,174.486,0,0
10,5143.30698784,0.05914258752923268,0,0
11,1.9054807400000002,4.89212,196.507,256.28
12,824.740057417,130.929,0,0
13,847.9522523200001,13.074069298016582,0,0
14,9103.449744000001,381.648,0,0
15,914.8413895399999,107.19332,451.535,168.704
16,3060.415006753,252.213,0,0
17,147.52213181199997,55.373999999999995,0,0
18,632.16904394,89.10692,300.071,497.36
19,3388.8355685369997,265.401,0,0
20,248.01265193999998,33.70315960596233,0,0
21,7751.217680999999,352.164,0,0
22,230.02535033999996,53.750519999999995,256.103,27.803
23,687.4301017600001,3.908882499084112,0,0
24,963.6331106249999,141.52499999999998,0,0
25,363.35984400000007,76.248,0,0
26,106.33734399999999,41.248,0,0
27,2136.565729,184.892,0,0
28,19.822201348,20.298000000000002,0,0
29,133510.44147700001,1401.7761252784824,0,0
30,2717.699462208,237.67200000000003,0,0
31,79334.9340945,1287.8409820328934,0,0
32,148884.37937000007,1467.341677498961,0,0
33,117758.10187000003,1372.6801345530716,0,0
34,87.63767946000002,33.177240000000005,281.545,144.861
35,4543.029604,269.608,0,0
36,703.257361,106.076,0,0
37,85043.04231299998,1380.0073311557117,0,0
38,3739.551914,216.7228,300.421,302.472
39,2955.0096,217.44,0,0
40,1675.6804711399998,145.07428,271.639,11.588
41,2713.6530984250007,237.495,0,0
42,566.9367779600001,23.397271953038032,0,0
43,1269.3488810400004,126.26568000000002,235.877,406.095
44,113630.25844099995,1343.3525039003719,0,0
45,3346.88399936,0.18538820595994826,0,0
46,221.33833624,18.712834435157045,0,0
47,249.57429971199997,72.024,0,0
48,163176.57295600002,1544.957577676425,0,0
